"EVbar","dwal","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.66297e-03,1.77000e-03,1.66446e-03,5.73877e-01,7.04979e-01,5.37471e+01,5.10517e-03,0.00000e+00,5.37311e+01,5.37748e-03,0.00000e+00,5.93876e-03,-3.34115e+00,-4.40305e+03,7.40955e-02,-3.40940e+00,-4.39146e+03,0.00000e+00,1,1.77000e-03,9.70000e-01,1.77000e-03,0.00000e+00
1.68446e-03,1.80000e-03,1.68596e-03,5.75340e-01,7.06606e-01,5.38799e+01,5.31745e-03,0.00000e+00,5.38641e+01,5.59079e-03,0.00000e+00,5.84323e-03,-3.35259e+00,-4.34081e+03,7.39164e-02,-3.42064e+00,-4.32994e+03,0.00000e+00,1,1.80000e-03,9.70000e-01,1.80000e-03,0.00000e+00
1.70596e-03,1.83000e-03,1.70746e-03,5.75856e-01,7.06764e-01,5.40134e+01,5.56223e-03,0.00000e+00,5.39978e+01,5.82751e-03,0.00000e+00,6.22689e-03,-3.36428e+00,-4.27947e+03,7.41427e-02,-3.43201e+00,-4.26927e+03,0.00000e+00,1,1.83000e-03,9.70000e-01,1.83000e-03,0.00000e+00
1.72746e-03,1.86000e-03,1.72897e-03,5.76373e-01,7.06922e-01,5.41468e+01,5.80702e-03,0.00000e+00,5.41316e+01,6.06424e-03,0.00000e+00,6.61055e-03,-3.37597e+00,-4.21813e+03,7.43691e-02,-3.44339e+00,-4.20860e+03,0.00000e+00,1,1.86000e-03,9.70000e-01,1.86000e-03,0.00000e+00
1.74848e-03,1.89000e-03,1.74999e-03,5.76921e-01,7.07089e-01,5.42767e+01,6.01874e-03,0.00000e+00,5.42617e+01,6.27334e-03,0.00000e+00,6.83185e-03,-3.38708e+00,-4.16007e+03,7.44847e-02,-3.45423e+00,-4.15115e+03,0.00000e+00,1,1.89000e-03,9.70000e-01,1.89000e-03,0.00000e+00
1.76781e-03,1.92000e-03,1.76932e-03,5.77579e-01,7.07290e-01,5.43939e+01,6.11565e-03,0.00000e+00,5.43790e+01,6.38652e-03,0.00000e+00,6.48917e-03,-3.39616e+00,-4.11340e+03,7.42157e-02,-3.46322e+00,-4.10493e+03,0.00000e+00,1,1.92000e-03,9.70000e-01,1.92000e-03,0.00000e+00
1.78714e-03,1.95000e-03,1.78866e-03,5.78737e-01,7.08265e-01,5.45107e+01,6.25008e-03,0.00000e+00,5.44960e+01,6.53289e-03,0.00000e+00,6.15416e-03,-3.40522e+00,-4.06730e+03,7.39126e-02,-3.47216e+00,-4.05928e+03,0.00000e+00,1,1.95000e-03,9.70000e-01,1.95000e-03,0.00000e+00
1.80646e-03,1.98000e-03,1.80798e-03,5.80668e-01,7.10436e-01,5.46270e+01,6.44237e-03,0.00000e+00,5.46124e+01,6.73044e-03,0.00000e+00,5.83096e-03,-3.41426e+00,-4.02206e+03,7.35571e-02,-3.48100e+00,-4.01450e+03,0.00000e+00,1,1.98000e-03,9.70000e-01,1.98000e-03,0.00000e+00
1.82578e-03,2.01000e-03,1.82731e-03,5.82599e-01,7.12607e-01,5.47433e+01,6.63465e-03,0.00000e+00,5.47288e+01,6.92799e-03,0.00000e+00,5.50777e-03,-3.42330e+00,-3.97683e+03,7.32015e-02,-3.48985e+00,-3.96973e+03,0.00000e+00,1,2.01000e-03,9.70000e-01,2.01000e-03,0.00000e+00
1.84510e-03,2.04000e-03,1.84664e-03,5.84530e-01,7.14778e-01,5.48596e+01,6.82693e-03,0.00000e+00,5.48452e+01,7.12554e-03,0.00000e+00,5.18457e-03,-3.43235e+00,-3.93159e+03,7.28459e-02,-3.49870e+00,-3.92495e+03,0.00000e+00,1,2.04000e-03,9.70000e-01,2.04000e-03,0.00000e+00
